download,upload,ping,time
56432879.28968542,6373067.563366423,17.733,2020-10-06 13:18:46.882043
50584065.05168623,6335907.992114898,24.608,2020-10-06 13:23:46.994226
39920629.812715985,6050845.115981125,24.455,2020-10-06 13:28:46.998780
46782662.52898709,6500773.633247599,22.415,2020-10-06 13:33:46.655642
57941992.68682292,6479767.115756524,23.447,2020-10-06 13:38:47.276199
54981408.94658779,6352226.612051086,15.136,2020-10-06 13:43:46.727844
53221024.44649523,4679801.406445107,22.48,2020-10-06 13:48:51.145676
47600383.430388324,6536494.93385971,13.456,2020-10-06 13:53:46.347483
46673690.396348804,6082665.272063844,15.447,2020-10-06 13:58:47.375991
68780880.90653114,6428103.377448766,19.741,2020-10-06 14:03:46.891083
59457861.402787454,5955009.242156455,22.943,2020-10-06 14:08:47.402438
64650754.25374274,6701991.309320585,16.051,2020-10-06 14:13:47.542675
47280225.56654379,6551167.798195949,22.663,2020-10-06 14:18:46.673792
52425109.662468545,6273210.288747903,15.183,2020-10-06 14:23:46.967906
49441840.52198743,6528370.530790495,31.351,2020-10-06 14:28:46.973821
48934650.87981683,6343539.418947959,18.251,2020-10-06 14:33:46.949582
58219262.32646556,6113068.581965169,23.777,2020-10-06 14:38:47.044445
47384337.344773725,6444528.91170308,22.913,2020-10-06 14:43:46.519513
46614821.90660164,6461000.871849472,18.979,2020-10-06 14:52:08.059870
43103346.10946343,6348655.215659605,15.776,2020-10-06 14:53:47.445273
58147377.686067864,6405645.399068479,22.701,2020-10-06 14:58:47.174373
55029815.5773724,6565027.430658633,22.893,2020-10-06 15:05:33.486891
52401129.12384635,6349181.803697965,21.008,2020-10-06 15:08:47.205279
48315068.05798989,6427072.220678667,15.745,2020-10-06 15:13:46.547832
62718403.35899983,6303390.698456776,22.846,2020-10-06 15:18:46.892648
52724775.646683045,6299309.574777711,20.44,2020-10-06 15:23:46.632311
64940497.85684528,6361309.127541475,22.824,2020-10-06 15:24:40.595349
57022646.39069398,6339115.115112027,17.2,2020-10-06 15:25:10.826289
46947512.0849682,6595681.146025278,22.054,2020-10-06 15:25:58.233443
57390501.989884615,6569486.608928385,22.626,2020-10-06 15:44:17.218575
37992081.97096027,6344540.598617126,17.811,2020-10-06 15:56:55.517884
46691953.64439978,6387414.880465349,20.282,2020-10-06 16:01:25.341887
55044275.78862083,6472488.791935115,16.687,2020-10-06 16:02:14.242917
30931863.854237806,6375482.671352517,15.171,2020-10-06 16:02:38.197540
51597244.916044,6236529.920078384,23.184,2020-10-06 16:08:51.559801
45553857.14261764,5985609.333947091,13.901,2020-10-06 16:13:50.164747
47209988.70955652,6443644.856678488,17.928,2020-10-06 16:18:50.324384
61392561.27578769,6506089.487805938,20.368,2020-10-06 16:23:49.717014
29067168.933853026,6131597.781900538,43.989,2020-10-06 16:28:50.585097
45088342.52523361,6513995.4128507525,23.234,2020-10-06 16:33:49.557902
58481503.56382531,6579583.302372841,22.833,2020-10-06 16:38:50.111375
39888821.92581517,5018476.659781194,19.665,2020-10-06 16:43:53.831389
41103668.51315843,6758325.525031219,18.93,2020-10-06 16:48:50.074501
44846909.629413374,3738096.1713244207,22.689,2020-10-06 16:53:57.669554
45447351.40143295,6489037.997006429,22.975,2020-10-06 16:58:49.520366
58084798.39655322,6411838.09794803,25.079,2020-10-06 17:03:50.519028
48103453.495740086,6345921.392246921,20.363,2020-10-06 17:08:49.723178
46117997.12001864,6470943.505042957,22.774,2020-10-06 17:13:49.446162
57882989.30009357,6511975.967978925,25.753,2020-10-06 17:18:49.229694
67434702.62898086,6428766.719581786,18.111,2020-10-06 17:23:49.487063
56100376.59418545,6417571.839414981,20.146,2020-10-06 17:28:49.641822
64146696.42950432,6249079.702959502,21.209,2020-10-06 17:33:49.808712
67108384.45387993,6630603.233042905,24.143,2020-10-06 17:38:49.303183
51756237.17559027,6351137.35022042,22.935,2020-10-06 17:43:49.961156
44097058.05132415,6472212.679598249,19.581,2020-10-06 17:48:50.076397
43256549.98093221,6477028.332328658,16.173,2020-10-06 17:53:49.355849
36349442.73043462,6448373.961237186,23.082,2020-10-06 17:58:49.778997
48751702.68179537,6337780.888692992,20.608,2020-10-06 18:03:49.571771
50768562.053929105,5982726.6529626455,13.926,2020-10-06 18:08:52.130311
36611405.624295376,6296476.457724707,15.343,2020-10-06 18:13:49.463851
51826520.35462402,6355298.712095407,20.718,2020-10-06 18:18:49.359278
59169557.440065086,6463811.6871168455,19.954,2020-10-06 18:23:49.419537
29884341.589349065,6160627.141869856,27.749,2020-10-06 18:28:49.986955
37237177.57534781,6230651.888839262,22.955,2020-10-06 18:33:49.466574
14112664.385730987,6380695.84123034,23.022,2020-10-06 18:38:49.800290
45045830.44436293,6409543.68798084,17.928,2020-10-06 18:43:49.449203
29009697.520359516,6223560.5083066635,23.642,2020-10-06 18:48:49.921535
49198306.904696696,6420365.916784188,25.9,2020-10-06 18:53:49.256572
48069188.80739495,5900580.196668095,25.642,2020-10-06 18:58:49.803227
49786766.94797335,6332042.648434704,22.563,2020-10-06 19:03:49.432587
23907116.187291354,6262457.014791464,21.818,2020-10-06 19:08:49.150921
28455174.735793993,6588027.968644821,17.87,2020-10-06 19:13:49.118114
39211919.209118724,6031743.616587997,17.873,2020-10-06 19:18:49.841935
39347027.34918642,6431888.607082705,22.543,2020-10-06 19:23:49.832266
40445433.667819016,6140385.670309686,30.034,2020-10-06 19:28:49.990535
34560864.49978895,6219384.460491567,21.809,2020-10-06 19:33:50.009568
23682156.45312666,6102917.5741145145,33.329,2020-10-06 19:38:50.493945
33660155.65398597,6390030.33074743,26.524,2020-10-06 19:43:50.019019
43259728.91563099,6202092.80609082,23.215,2020-10-06 19:48:49.983886
40207105.49778869,6364521.678703389,23.118,2020-10-06 19:53:50.160109
44301035.61894543,3983977.098655865,22.566,2020-10-06 19:58:56.076591
45248542.11461109,6408323.185349695,15.303,2020-10-06 20:03:49.814329
34097449.65049156,6230262.443623405,30.859,2020-10-06 20:08:50.495257
35494930.67696148,6603826.522621614,18.591,2020-10-06 20:13:49.303461
8904742.573108928,5734644.775674139,31.145,2020-10-06 20:18:50.908854
34118122.803052634,6338184.399624699,17.965,2020-10-06 20:23:49.528939
33701285.0954982,6236005.384296944,24.15,2020-10-06 20:28:50.564536
21050631.464586753,5406293.361466449,14.833,2020-10-06 20:33:51.902849
29852280.445723288,6269811.823968684,27.18,2020-10-06 20:38:50.643777
41110528.09486162,6077110.590435177,16.016,2020-10-06 20:43:49.645177
32672243.109387416,6539777.382340615,20.022,2020-10-06 20:48:49.463496
43644733.08942122,6480740.933665598,32.741,2020-10-06 20:53:50.977769
38897635.36122728,6525798.240476425,18.917,2020-10-06 20:58:49.660436
65578657.14239367,5953451.781503585,30.382,2020-10-06 21:03:50.076284
26142657.799659014,6353303.802326098,21.884,2020-10-06 21:08:50.195656
26415835.770485256,6340200.571211454,20.738,2020-10-06 21:13:50.064470
36814085.09632199,6358827.413080015,22.667,2020-10-06 21:18:50.015800
23749266.274275504,5836540.375282126,23.12,2020-10-06 21:23:50.568122
29186972.59562176,6510001.14027997,32.465,2020-10-06 21:28:49.990552
65625782.037397906,6310286.890658285,47.688,2020-10-06 21:33:50.677180
44508910.38213308,6004690.007926128,25.727,2020-10-06 21:38:52.084599
32519464.835082795,5984376.144836418,23.438,2020-10-06 21:43:51.006019
41393067.804850146,6318117.4086759295,22.515,2020-10-06 21:48:50.340507
57040617.13016541,6586938.958407358,14.48,2020-10-06 21:53:49.397164
37036860.79566455,6594219.741359521,18.082,2020-10-06 21:58:49.423849
23656551.813833304,6445458.091635232,23.216,2020-10-06 22:03:49.703744
46229469.63998563,6526541.5195816625,23.116,2020-10-06 22:08:49.270167
33934850.26402238,6423886.167138436,22.687,2020-10-06 22:13:50.196630
23688730.654418603,6386610.851413878,34.797,2020-10-06 22:18:50.164646
42916366.937745266,6513679.585466663,23.734,2020-10-06 22:23:51.301155
33367945.721028015,6568744.998539357,22.645,2020-10-06 22:28:50.220499
43173966.73385742,4407037.601328504,22.699,2020-10-06 22:33:53.703123
37873942.94100148,6451908.125147838,23.097,2020-10-06 22:38:49.624654
37347177.393963374,6443995.455842465,21.764,2020-10-06 22:43:50.778294
24377803.600346874,6130792.512719596,23.09,2020-10-06 22:48:49.635351
39727006.788104504,6453782.652695215,34.016,2020-10-06 22:53:49.684085
47909652.43634247,6425932.379750967,14.739,2020-10-06 22:58:49.269747
44525957.59447834,4685249.136762769,23.221,2020-10-06 23:03:54.395467
52371348.781171836,6141681.366214319,23.229,2020-10-06 23:08:50.228379
52035585.238506824,6456282.904570327,23.226,2020-10-06 23:13:49.740551
38341160.33671285,6443011.954241442,33.023,2020-10-06 23:18:49.688794
42700538.55559567,6336468.562585526,25.514,2020-10-06 23:23:49.310730
47333103.6384204,6450988.525945303,25.943,2020-10-06 23:28:50.199770
63558823.36251796,6233062.662764961,23.888,2020-10-06 23:33:50.553827
61589579.780192964,6373291.67561517,20.37,2020-10-06 23:38:49.539929
47006291.22755751,6275289.701048487,22.138,2020-10-06 23:43:49.848194
51573395.74045832,6495879.957512459,20.385,2020-10-06 23:48:49.179470
42961164.635244794,6313806.612754798,18.95,2020-10-06 23:53:49.965251
61817271.4586667,6553675.853931419,23.952,2020-10-06 23:58:49.297001
48135294.461132094,6359222.350178437,26.125,2020-10-07 00:03:51.213755
61729795.52040687,6409158.692859047,22.801,2020-10-07 00:08:49.673634
38627794.32103186,6399632.292942985,23.32,2020-10-07 00:13:49.546025
